epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.6844,0.2473,0.5478,0.001000,2.5
2,2.4914,0.3363,0.6358,0.000999,2.2
3,2.1346,0.3686,0.6707,0.000997,2.2
4,1.9168,0.4255,0.7147,0.000994,2.3
5,1.7722,0.4323,0.7249,0.000989,2.2
6,1.6584,0.4385,0.7296,0.000983,2.3
7,1.5705,0.4398,0.7242,0.000976,2.2
8,1.5069,0.4495,0.7344,0.000967,2.2
9,1.4405,0.4694,0.7529,0.000957,2.2
10,1.3884,0.4673,0.7491,0.000946,2.2
11,1.3359,0.4743,0.7543,0.000933,2.2
12,1.2980,0.4767,0.7605,0.000919,2.2
13,1.2578,0.4915,0.7681,0.000905,2.3
14,1.2317,0.4879,0.7658,0.000889,2.2
15,1.2023,0.4849,0.7540,0.000872,2.2
16,1.1696,0.4949,0.7669,0.000854,2.2
17,1.1480,0.4883,0.7603,0.000835,2.2
18,1.1206,0.5046,0.7712,0.000815,2.2
19,1.0961,0.4995,0.7686,0.000794,2.2
20,1.0766,0.4993,0.7678,0.000772,2.2
21,1.0558,0.5171,0.7781,0.000750,2.2
22,1.0339,0.4876,0.7641,0.000727,2.2
23,1.0106,0.5071,0.7730,0.000703,2.2
24,0.9923,0.5155,0.7739,0.000679,2.2
25,0.9809,0.5120,0.7736,0.000655,2.2
26,0.9576,0.5162,0.7767,0.000629,2.3
27,0.9451,0.5157,0.7805,0.000604,2.2
28,0.9277,0.5107,0.7742,0.000578,2.2
29,0.9071,0.5129,0.7751,0.000552,2.2
30,0.8961,0.5338,0.7873,0.000526,2.2
31,0.8729,0.5250,0.7820,0.000500,2.2
32,0.8583,0.5146,0.7728,0.000474,2.2
33,0.8484,0.5307,0.7894,0.000448,2.2
34,0.8302,0.5226,0.7787,0.000422,2.2
35,0.8232,0.5221,0.7808,0.000396,2.2
36,0.8029,0.5291,0.7855,0.000371,2.2
37,0.7917,0.5309,0.7874,0.000345,2.2
38,0.7779,0.5276,0.7879,0.000321,2.2
39,0.7653,0.5350,0.7901,0.000297,2.2
40,0.7535,0.5354,0.7889,0.000273,2.3
41,0.7367,0.5246,0.7825,0.000250,2.2
42,0.7330,0.5320,0.7816,0.000228,2.2
43,0.7229,0.5361,0.7889,0.000206,2.2
44,0.7062,0.5376,0.7878,0.000185,2.2
45,0.7000,0.5372,0.7917,0.000165,2.2
46,0.6885,0.5397,0.7920,0.000146,2.2
47,0.6793,0.5380,0.7937,0.000128,2.2
48,0.6760,0.5401,0.7919,0.000111,2.2
49,0.6689,0.5397,0.7893,0.000095,2.2
50,0.6567,0.5354,0.7878,0.000081,2.2
51,0.6515,0.5403,0.7897,0.000067,2.2
52,0.6470,0.5412,0.7917,0.000054,2.2
53,0.6427,0.5364,0.7872,0.000043,2.2
54,0.6365,0.5392,0.7919,0.000033,2.3
55,0.6321,0.5390,0.7931,0.000024,2.2
56,0.6282,0.5373,0.7888,0.000017,2.2
57,0.6298,0.5363,0.7876,0.000011,2.2
58,0.6259,0.5369,0.7913,0.000006,2.2
59,0.6221,0.5387,0.7894,0.000003,2.3
60,0.6265,0.5407,0.7909,0.000001,2.3
