epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,3.8225,0.2512,0.5556,0.001000,3.5
2,2.6806,0.3512,0.6672,0.001000,3.0
3,2.3092,0.3605,0.6630,0.000999,3.1
4,2.1036,0.4018,0.6948,0.000998,3.0
5,1.9532,0.4264,0.7249,0.000997,3.0
6,1.8461,0.4257,0.7208,0.000996,3.1
7,1.7577,0.4544,0.7367,0.000994,3.1
8,1.6918,0.4733,0.7516,0.000992,3.0
9,1.6233,0.4783,0.7539,0.000989,2.9
10,1.5744,0.4987,0.7716,0.000986,3.0
11,1.5346,0.4756,0.7498,0.000983,3.1
12,1.4860,0.4866,0.7572,0.000979,3.2
13,1.4495,0.4987,0.7664,0.000976,3.6
14,1.4148,0.4952,0.7707,0.000971,3.2
15,1.3899,0.4977,0.7702,0.000967,3.9
16,1.3645,0.4939,0.7703,0.000962,3.4
17,1.3326,0.5092,0.7728,0.000957,3.0
18,1.3201,0.5234,0.7916,0.000951,2.9
19,1.2875,0.5133,0.7834,0.000946,3.0
20,1.2744,0.5028,0.7704,0.000939,3.1
21,1.2479,0.5280,0.7866,0.000933,3.0
22,1.2337,0.5249,0.7821,0.000926,3.0
23,1.2147,0.5318,0.7872,0.000919,3.1
24,1.2039,0.5308,0.7876,0.000912,3.0
25,1.1867,0.5332,0.7845,0.000905,3.0
26,1.1739,0.5371,0.7881,0.000897,3.0
27,1.1524,0.5296,0.7900,0.000889,3.0
28,1.1414,0.5222,0.7849,0.000880,3.0
29,1.1286,0.5320,0.7896,0.000872,3.0
30,1.1153,0.5274,0.7865,0.000863,3.1
31,1.1065,0.5378,0.7901,0.000854,3.0
32,1.0939,0.5377,0.7914,0.000844,3.0
33,1.0866,0.5338,0.7878,0.000835,3.0
34,1.0739,0.5357,0.7893,0.000825,3.0
35,1.0619,0.5477,0.7960,0.000815,2.9
36,1.0569,0.5354,0.7902,0.000804,3.0
37,1.0456,0.5408,0.7981,0.000794,3.1
38,1.0326,0.5367,0.7892,0.000783,3.0
39,1.0256,0.5327,0.7844,0.000772,3.0
40,1.0102,0.5464,0.7913,0.000761,3.1
41,1.0061,0.5515,0.7967,0.000750,2.9
42,0.9976,0.5524,0.7986,0.000739,3.0
43,0.9904,0.5506,0.7968,0.000727,3.0
44,0.9822,0.5492,0.7999,0.000715,3.0
45,0.9691,0.5566,0.7973,0.000703,2.9
46,0.9603,0.5464,0.7939,0.000691,2.9
47,0.9504,0.5546,0.7973,0.000679,3.0
48,0.9449,0.5516,0.7958,0.000667,2.9
49,0.9388,0.5527,0.7992,0.000655,2.9
50,0.9317,0.5494,0.7966,0.000642,3.1
51,0.9214,0.5543,0.7985,0.000629,3.0
52,0.9110,0.5533,0.7947,0.000617,3.0
53,0.9050,0.5453,0.7986,0.000604,3.0
54,0.9029,0.5548,0.8002,0.000591,3.0
55,0.8924,0.5509,0.7950,0.000578,3.1
56,0.8837,0.5506,0.7975,0.000565,3.0
57,0.8818,0.5625,0.8002,0.000552,3.0
58,0.8650,0.5637,0.8027,0.000539,3.0
59,0.8656,0.5658,0.7989,0.000526,3.0
60,0.8558,0.5603,0.8027,0.000513,3.0
61,0.8511,0.5576,0.8002,0.000500,2.9
62,0.8387,0.5574,0.8015,0.000487,3.0
63,0.8353,0.5502,0.7963,0.000474,3.0
64,0.8299,0.5595,0.8005,0.000461,3.0
65,0.8244,0.5665,0.8014,0.000448,2.9
66,0.8198,0.5658,0.8076,0.000435,3.0
67,0.8102,0.5662,0.8066,0.000422,3.0
68,0.8046,0.5682,0.8037,0.000409,3.0
69,0.7949,0.5602,0.8013,0.000396,3.0
70,0.7933,0.5589,0.7977,0.000383,3.1
71,0.7847,0.5549,0.8011,0.000371,3.1
72,0.7762,0.5675,0.8030,0.000358,3.0
73,0.7703,0.5679,0.8025,0.000345,3.0
74,0.7682,0.5644,0.8055,0.000333,3.0
75,0.7559,0.5674,0.8044,0.000321,2.9
76,0.7551,0.5632,0.8035,0.000309,3.0
77,0.7477,0.5630,0.8040,0.000297,2.9
78,0.7438,0.5618,0.8011,0.000285,3.0
79,0.7364,0.5665,0.8021,0.000273,3.0
80,0.7304,0.5644,0.8053,0.000261,3.1
81,0.7289,0.5665,0.8072,0.000250,3.0
82,0.7183,0.5651,0.8030,0.000239,3.0
