epoch,train_loss,val_top1,val_top5,lr,epoch_seconds
1,4.5198,0.1032,0.3306,0.001000,2.2
2,3.3833,0.2202,0.5087,0.000999,1.9
3,2.8421,0.2708,0.5626,0.000997,1.9
4,2.4996,0.3247,0.6180,0.000994,1.9
5,2.2540,0.3595,0.6518,0.000989,1.9
6,2.0858,0.4020,0.6913,0.000983,1.9
7,1.9564,0.3875,0.6831,0.000976,1.9
8,1.8517,0.4002,0.6907,0.000967,1.9
9,1.7782,0.4050,0.6943,0.000957,1.9
10,1.7059,0.4220,0.7044,0.000946,1.9
11,1.6409,0.4384,0.7162,0.000933,1.9
12,1.5856,0.4356,0.7109,0.000919,1.9
13,1.5355,0.4409,0.7200,0.000905,1.9
14,1.4982,0.4454,0.7221,0.000889,1.9
15,1.4574,0.4630,0.7335,0.000872,1.9
16,1.4141,0.4373,0.7176,0.000854,1.9
17,1.3769,0.4616,0.7289,0.000835,1.9
18,1.3483,0.4594,0.7313,0.000815,1.9
19,1.3185,0.4433,0.7195,0.000794,1.9
20,1.2867,0.4572,0.7273,0.000772,1.9
21,1.2663,0.4663,0.7293,0.000750,1.9
22,1.2357,0.4765,0.7382,0.000727,1.9
23,1.2126,0.4730,0.7381,0.000703,1.9
24,1.1923,0.4715,0.7348,0.000679,1.9
25,1.1647,0.4693,0.7367,0.000655,1.9
26,1.1432,0.4694,0.7318,0.000629,1.9
27,1.1209,0.4681,0.7299,0.000604,1.9
28,1.0995,0.4828,0.7422,0.000578,1.9
29,1.0804,0.4687,0.7330,0.000552,1.9
30,1.0639,0.4841,0.7449,0.000526,1.9
31,1.0571,0.4793,0.7388,0.000500,1.9
32,1.0321,0.4822,0.7371,0.000474,1.9
33,1.0142,0.4672,0.7282,0.000448,1.9
34,0.9946,0.4721,0.7316,0.000422,1.9
35,0.9805,0.4883,0.7423,0.000396,1.9
36,0.9718,0.4789,0.7407,0.000371,1.9
37,0.9519,0.4874,0.7423,0.000345,1.9
38,0.9360,0.4828,0.7383,0.000321,1.9
39,0.9269,0.4796,0.7384,0.000297,1.9
40,0.9103,0.4856,0.7426,0.000273,1.9
41,0.9000,0.4867,0.7426,0.000250,1.9
42,0.8907,0.4814,0.7397,0.000228,1.9
43,0.8813,0.4819,0.7432,0.000206,1.9
44,0.8663,0.4881,0.7407,0.000185,1.9
45,0.8561,0.4832,0.7393,0.000165,1.9
46,0.8476,0.4818,0.7388,0.000146,1.9
47,0.8432,0.4886,0.7434,0.000128,1.9
48,0.8310,0.4840,0.7409,0.000111,2.0
49,0.8258,0.4821,0.7394,0.000095,1.9
50,0.8194,0.4875,0.7426,0.000081,1.9
51,0.8105,0.4838,0.7398,0.000067,1.9
52,0.8068,0.4821,0.7407,0.000054,1.9
53,0.8036,0.4880,0.7435,0.000043,1.9
54,0.7949,0.4850,0.7400,0.000033,1.9
55,0.7954,0.4823,0.7405,0.000024,1.9
56,0.7928,0.4835,0.7419,0.000017,1.9
57,0.7909,0.4834,0.7412,0.000011,1.9
58,0.7893,0.4833,0.7413,0.000006,1.9
59,0.7862,0.4829,0.7405,0.000003,1.9
60,0.7858,0.4833,0.7407,0.000001,1.9
